Name,"Saffir-Simpson Category",ClosestApproach,Year
Unnamed,Category 1 hurricane,June 25,1851
Unnamed,Category 1 hurricane,June 26,1854
Unnamed,Category 2 hurricane,September 18,1854
Unnamed,Category 1 hurricane,September 13,1865
Unnamed,Category 2 hurricane,July 15,1866
Unnamed,Category 1 hurricane,October 2,1867
Unnamed,Category 2 hurricane,August 17,1869
Unnamed,Category 3 hurricane,September 16,1875
Unnamed,Category 2 hurricane,August 23,1879
Unnamed,"Category 3 hurricane [notes 5]",August 13,1880
Unnamed,Category 2 hurricane,June 14,1886
Unnamed,Category 4 hurricane,August 20,1886
Unnamed,"Category 1 hurricane [notes 5]",September 23,1886
Unnamed,Category 2 hurricane,October 12,1886
Unnamed,Category 2 hurricane,September 21,1887
Unnamed,Category 1 hurricane,June 17,1888
Unnamed,Category 1 hurricane,July 5,1891
Unnamed,"Category 1 hurricane [notes 5]",August 30,1895
Unnamed,Category 1 hurricane,September 13,1897
Unnamed,Category 4 hurricane,September 9,1900
Unnamed,Category 2 hurricane,June 29,1909
Unnamed,Category 3 hurricane,July 21,1909
Unnamed,"Category 1 hurricane [notes 5]",August 27,1909
Unnamed,Category 2 hurricane,September 14,1910
Unnamed,Category 2 hurricane,October 16,1912
Unnamed,Category 1 hurricane,June 27,1913
Unnamed,Category 4 hurricane,August 17,1915
Unnamed,Category 4 hurricane,August 18,1916
Unnamed,Category 1 hurricane,August 7,1918
Unnamed,Category 3 hurricane,September 14,1919
Unnamed,Category 1 hurricane,June 22,1921
Unnamed,Category 1 hurricane,June 28,1929
Unnamed,Category 4 hurricane,August 14,1932
Unnamed,"Category 2 hurricane [notes 5]",August 7,1933
Unnamed,Category 3 hurricane,September 5,1933
Unnamed,Category 2 hurricane,July 25,1934
Unnamed,Category 1 hurricane,June 27,1936
Unnamed,Category 2 hurricane,August 8,1940
Unnamed,Category 3 hurricane,September 23,1941
Unnamed,Category 1 hurricane,August 21,1942
Unnamed,Category 3 hurricane,August 30,1942
Unnamed,Category 2 hurricane,July 27,1943
Unnamed,Category 2 hurricane,August 27,1945
Unnamed,Category 1 hurricane,August 24,1947
Unnamed,Category 2 hurricane,October 4,1949
Audrey,Category 2 hurricane,June 27,1957
Debra,Category 1 hurricane,July 25,1959
Carla,Category 4 hurricane,September 11,1961
Beulah,Category 3 hurricane,September 20,1967
Celia,Category 3 hurricane,August 3,1970
Fern,Category 1 hurricane,September 10,1971
Allen,Category 3 hurricane,August 10,1980
Alicia,Category 3 hurricane,August 18,1983
Bonnie,Category 1 hurricane,June 28,1986
Chantal,Category 1 hurricane,August 1,1989
Jerry,Category 1 hurricane,October 16,1989
Bret,Category 3 hurricane,August 23,1999
Claudette,Category 1 hurricane,July 15,2003
Rita,Category 2 hurricane,September 24,2005
Humberto,Category 1 hurricane,September 13,2007
Dolly,Category 1 hurricane,July 23,2008
Ike,Category 2 hurricane,September 13,2008
Harvey,Category 4 hurricane,August 26,2017
Hanna,"Category 1 hurricane [notes 4]",July 25,2020
Laura,Category 1 hurricane,August 27,2020
